Title,Year,Score,Adjusted Score,Rank,Consensus,Directors,Cast,Synopsis
300,2006,61,70.695,89,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.",Zack Snyder,"Gerard Butler, Lena Headey, David Wenham, Dominic West","In 480 B.C. a state of war exists between Persia, led by King Xerxes (Rodrigo Santoro), and Greece. At the..."
True Lies,1994,69,71.9,88,"If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain.",James Cameron,"Arnold Schwarzenegger, Jamie Lee Curtis, Tom Arnold, Bill Paxton","Secretly a spy but thought by his family to be a dull salesman, Harry Tasker (Arnold Schwarzenegger) is tracking down..."
Demolition Man,1993,62,61.799,87,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock.",Marco Brambilla,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne","With innocent victims caught in the crossfire in Los Angeles' intensifying war on crime, both cop John Spartan (Sylvester Stallone)..."
Hardcore Henry,2015,51,60.173,86,"Hardcore Henry seems poised to reinvent the action flick, but without a story or characters worth caring about, its first-person gimmick quickly loses its thrill.",Ilya Naishuller,"Sharlto Copley, Danila Kozlovsky, Haley Bennett, Dasha Charusha",A man wakes up in a Moscow laboratory to learn that he's been brought back from the dead as a...
Police Story,1985,93,92.134,85,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats.",Jackie Chan,"Jackie Chan, Brigitte Lin, Maggie Cheung, Bill Tung",A kung-fu policeman (Jackie Chan) must protect a female witness (Brigitte Lin) from a Hong Kong drug lord for whom...
Brotherhood of the Wolf,2001,73,76.855,84,"Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining.",Christophe Gans,"Samuel Le Bihan, Mark Dacascos, Émilie Dequenne, Vincent Cassel","In a rural province of France, a mysterious creature is laying waste to the countryside, savagely killing scores of women..."
Kingsman: The Secret Service,2014,75,85.087,83,"Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.",Matthew Vaughn,"Colin Firth, Michael Caine, Taron Egerton, Samuel L. Jackson","Gary ""Eggsy"" Unwin (Taron Egerton), whose late father secretly worked for a spy organization, lives in a South London housing..."
The Fifth Element,1997,71,73.79,82,"Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously.",Luc Besson,"Bruce Willis, Gary Oldman, Ian Holm, Milla Jovovich","In the 23rd century, a New York City cabbie, Korben Dallas (Bruce Willis), finds the fate of the world in..."
Big Trouble in Little China,1986,75,79.832,81,"Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them.",John Carpenter,"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong","Kurt Russell plays hard-boiled truck driver Jack Burton, who gets caught in a bizarre conflict within, and underneath, San Francisco's..."
Atomic Blonde,2017,79,106.405,80,Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.,David Leitch,"Charlize Theron, James McAvoy, Eddie Marsan, John Goodman","Sensual and savage, Lorraine Broughton is the most elite spy in MI6, an agent who's willing to use all of..."
Rumble in the Bronx,1995,80,80.313,79,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,Stanley Tong,"Jackie Chan, Anita Mui, Bill Tung, Françoise Yip","Hong Kong policeman Keung (Jackie Chan) arrives in New York for the wedding of his uncle Bill (Bill Tung), a..."
District B13,2004,80,84.671,78,"A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws.",Pierre Morel,"Cyril Raffaelli, David Belle, Tony D'Amario, Larbi Naceri","In 21st-century Paris, a member (Cyril Raffaelli) of an elite police squad must enter a crime-ridden ghetto to defuse a..."
Beverly Hills Cop,1984,83,86.661,77,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.",Martin Brest,"Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher","After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly..."
Ong-Bak: The Thai Warrior,2003,85,89.259,76,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.",Prachya Pinkaew,"Tony Jaa, Pumwaree Yodkamol, Petchtai Wongkamlao, Suchao Pongwilai","In Thailand, the impoverished village of Ban Nong Pradu has its most precious Buddha statue stolen from the temple. Luckily..."
Collateral,2004,86,95.898,75,"Driven by director Michael Mann's trademark visuals and a lean, villainous performance from Tom Cruise, Collateral is a stylish and compelling noir thriller.",Michael Mann,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",A cab driver realizes his current fare is a hit man that has been having him drive around from mark...
Iron Monkey,1993,91,93.402,74,"Iron Monkey may not have the poetic lyricism of Crouching Tiger, it makes up for it in fun and energy.",Woo-Ping Yuen,"Rongguang Yu, Donnie Yen, Sze-Man Tsang, Jean Wang","In a desperate and unjust land, where government corruption rules the day, only one man has the courage to challenge..."
Escape From New York,1981,85,90.206,73,"Featuring an atmospherically grimy futuristic metropolis, Escape from New York is a strange, entertaining jumble of thrilling action and oddball weirdness.",John Carpenter,"Kurt Russell, Ernest Borgnine, Adrienne Barbeau, Lee Van Cleef","In 1997, a major war between the United States and the Soviet Union is concluding, and the entire island of..."
Battle Royale,2000,88,88.056,72,"Battle Royale is a controversial and violent parable of adolescence, heightening teenage melodrama with life-or-death stakes.",Kinji Fukasaku,"Tatsuya Fujiwara, Aki Maeda, Taro Yamamoto, Masanobu Andô","42 9th graders are sent to a deserted island. They are given a map, food, and various weapons. An explosive..."
Spider-Man 2,2004,93,104.6,71,"Boasting an entertaining villain and deeper emotional focus, this is a nimble sequel that improves upon the original.",Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina","When a failed nuclear fusion experiment results in an explosion that kills his wife, Dr. Otto Octavius (Alfred Molina) is..."
13 Assassins,2010,95,100.003,70,"Takashi Miike's electric remake of Eiichi Kudo's 1963 period action film is a wild spectacle executed with killer, dizzying panache.",Takashi Miike,"Koji Yakusho, Takayuki Yamada, Yusuke Iseya, Goro Inagaki","In this remake of a 1963 film based on historical events, Shinzaemon Shimada leads a team of assassins in 19th-century..."
Full Contact,1992,88,67.863,69,No consensus yet.,Ringo Lam,"Chow Yun-Fat, Simon Yam, Bonnie Fu, Wong Chow-Sang","Jeff (Chow Yun-Fat), who works as a nightclub bouncer in Bangkok, saves his friend Sam (Wong Chow-Sang) from a beating..."
Indiana Jones and the Last Crusade,1989,88,94.121,68,"Lighter and more comedic than its predecessor, Indiana Jones and the Last Crusade returns the series to the brisk serial adventure of Raiders, while adding a dynamite double act between Harrison Ford and Sean Connery.",Steven Spielberg,"Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody",An art collector appeals to Jones to embark on a search for the Holy Grail. He learns that another archaeologist...
Kung Fu Hustle,2004,90,98.12,67,"Kung Fu Hustle blends special effects, martial arts, and the Looney Toons to hilarious effect.",Stephen Chow,"Stephen Chow, Yuen Wah, Yuen Qiu, Siu-Lung Leung","When the hapless Sing (Stephen Chow) and his dim-witted pal, Bone (Feng Xiaogang), try to scam the residents of Pig..."
A Better Tomorrow,1986,93,92.518,66,No consensus yet.,John Woo,"Ti Lung, Chow Yun-Fat, Leslie Cheung, Emily Chu",A Hong Kong policeman (Leslie Cheung) blames his reformed-gangster brother (Chow Yun-Fat) for the death of their father....
Iron Man,2008,94,105.243,65,"Powered by Robert Downey Jr.'s vibrant charm, Iron Man turbo-charges the superhero genre with a deft intelligence and infectious sense of fun.",Jon Favreau,"Robert Downey Jr., Terrence Howard, Gwyneth Paltrow, Jeff Bridges","A billionaire industrialist and genius inventor, Tony Stark (Robert Downey Jr.), is conducting weapons tests overseas, but terrorists kidnap him..."
The Night Comes for Us,2018,91,91.144,64,"A bloody thrill ride designed to test the limits of more squeamish viewers, The Night Comes for Us wields a stylishly violent, action-packed punch.",Timo Tjahjanto,"Joe Taslim, Iko Uwais, Julie Estelle, Sunny Pang","Ito, a gangland enforcer, is caught amidst a treacherous and violent insurrection within his Triad crime family...."
Logan,2017,94,126.309,63,"Hugh Jackman makes the most of his final outing as Wolverine with a gritty, nuanced performance in a violent but surprisingly thoughtful superhero action film that defies genre conventions.",James Mangold,"Hugh Jackman, Patrick Stewart, Dafne Keen, Richard E. Grant","In the near future, a weary Logan (Hugh Jackman) cares for an ailing Professor X (Patrick Stewart) at a remote..."
Goldfinger,1964,99,104.128,62,"Goldfinger is where James Bond as we know him comes into focus - it features one of 007's most famous lines (""A martini. Shaken, not stirred."") and a wide range of gadgets that would become the series' trademark.",Guy Hamilton,"Sean Connery, Gert Frobe, Honor Blackman, Shirley Eaton","Special agent 007 (Sean Connery) comes face to face with one of the most notorious villains of all time, and..."
Assault on Precinct 13,1976,95,98.803,61,"Lean, taut and compellingly gritty, John Carpenter's loose update of Rio Bravo ranks as a cult action classic and one of the filmmaker's best.",John Carpenter,"Austin Stoker, Darwin Joston, Laurie Zimmer, Martin West","When the LAPD kills several members of the South Central gang Street Thunder, the remaining members avenge themselves by way..."
Wonder Woman,2017,93,129.167,60,"Thrilling, earnest, and buoyed by Gal Gadot's charismatic performance, Wonder Woman succeeds in spectacular fashion.",Patty Jenkins,"Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright","Before she was Wonder Woman (Gal Gadot), she was Diana, princess of the Amazons, trained to be an unconquerable warrior...."
The Chinese Connection,1972,83,83.268,59,No consensus yet.,Lo Wei,"Bruce Lee, Miao Ker Hsiu, James Tien, Robert Baker","Chen Zhen (Bruce Lee) has left his homeland of China and relocated to stay with family in Thailand. Chen, who..."
Captain America: The Winter Soldier,2014,90,102.769,58,"Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards.",Anthony Russo,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan","After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in..."
Oldboy,2003,81,87.286,57,"Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge.",Park Chan-wook,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han","Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the..."
The French Connection,1971,97,105.203,56,"Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production.",William Friedkin,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco","New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler...."
Furious 7,2015,82,92.727,55,"Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one.",James Wan,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew..."
La Femme Nikita,1990,89,90.845,54,A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.,Luc Besson,"Anne Parillaud, Jean-Hugues Anglade, Tcheky Karyo, Jeanne Moreau","Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a..."
Supercop,1992,96,98.779,53,"Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers.",Stanley Tong,"Jackie Chan, Michelle Yeaoh, Maggie Cheung, Ken Tsang","To infiltrate a drug cartel, police Inspector Chan Ka Kui (Jackie Chan) goes undercover in a Chinese prison. There, he..."
Dirty Harry,1971,89,93.216,52,"As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.",Don Siegel,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch",Cop Harry Callahan (Clint Eastwood) attempts to track down a psychopathic rooftop killer before a kidnapped girl dies. When he...
Edge of Tomorrow,2014,91,104.772,51,"Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller.",Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj...."
X2,2003,85,93.373,50,"Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general.",Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry","Stryker (Brian Cox), a villianous former Army commander, holds the key to Wolverine's (Hugh Jackman) past and the future of..."
The Fugitive,1993,96,102.583,49,"Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best.",Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her..."
Black Panther,2018,96,129.316,48,Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place..."
Inception,2010,87,101.217,47,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from...
Braveheart,1995,76,81.541,46,"Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.",Mel Gibson,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack",Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against...
Minority Report,2002,90,97.987,45,"Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller.",Steven Spielberg,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Based on a story by famed science fiction writer Philip K. Dick, ""Minority Report"" is an action-detective thriller set in..."
Avengers: Endgame,2019,94,128.404,44,"Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga.",Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply..."
Dredd,2012,79,86.264,43,"Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit.",Pete Travis,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris","Mega City One is a vast, violent metropolis where felons rule the streets. The only law lies with cops called..."
The Bourne Identity,2002,84,89.618,42,"Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some.",Doug Liman,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen","The story of a man (Matt Damon), salvaged, near death, from the ocean by an Italian fishing boat. When he..."
Ip Man,2008,86,85.329,41,"At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years.",Wilson Yip,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam","The life story of Yip Man, the first person to teach the Chinese martial art of Wing Chun...."
Face/Off,1997,92,96.13,40,"John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence.",John Woo,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","Obsessed with bringing terrorist Castor Troy (Nicolas Cage) to justice, FBI agent Sean Archer (John Travolta) tracks down Troy, who..."
To Live and Die in L.A.,1985,85,87.187,39,"With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller.",William Friedkin,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer","When his longtime partner on the force is killed, reckless U.S. Secret Service agent Richard Chance (William L. Petersen) vows..."
The Dark Knight,2008,94,108.302,38,"Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has..."
Mission: Impossible -- Ghost Protocol,2011,93,103.46,37,"Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works.",Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","Blamed for a terrorist attack on the Kremlin, Ethan Hunt (Tom Cruise) and the entire IMF agency are disavowed by..."
Fast Five,2011,77,85.28,36,"Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.",Justin Lin,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson",Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of...
Lethal Weapon,1987,80,83.9,35,"The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s.",Richard Donner,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan","Following the death of his wife, Los Angeles police detective Martin Riggs (Mel Gibson) becomes reckless and suicidal. When he..."
The Rock,1996,68,71.895,34,"For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain.",Michael Bay,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn","FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John..."
RoboCop,1987,91,95.771,33,"While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture.",Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy","In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the..."
John Wick: Chapter 2,2017,89,109.337,32,"John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.",Chad Stahelski,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio",Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows...
